vcpu,memoria_gb,reg_Leste dos EUA,reg_Sudeste do Brasil,preco_real,preco_previsto,regiao
8.0,32.0,True,False,0.381,0.6215957385009458,Leste dos EUA
8.0,64.0,True,False,0.403,0.7369366816933107,Leste dos EUA
8.0,64.0,True,False,0.504,0.7369366816933107,Leste dos EUA
4.0,32.0,True,False,0.288,0.35319930310589664,Leste dos EUA
64.0,256.0,True,False,4.234,4.7679643453330005,Leste dos EUA
20.0,80.0,True,False,1.31,1.5554289122113842,Leste dos EUA
96.0,384.0,False,True,9.547,12.066771632625619,Sudeste do Brasil
96.0,768.0,True,False,9.84,8.652382112247652,Leste dos EUA
4.0,32.0,False,True,0.517,0.6495326229833788,Sudeste do Brasil
4.0,16.0,False,True,0.626,0.5026364572552121,Sudeste do Brasil
16.0,128.0,True,False,1.744,1.4255148438996539,Leste dos EUA
96.0,768.0,True,False,10.382,8.652382112247652,Leste dos EUA
128.0,512.0,False,True,19.254,17.09600565079364,Sudeste do Brasil
48.0,384.0,True,False,6.132,4.151974423277217,Leste dos EUA
64.0,512.0,False,True,11.742,10.329739461854851,Sudeste do Brasil
64.0,512.0,False,True,12.429,10.329739461854851,Sudeste do Brasil
16.0,128.0,True,False,1.008,1.4255148438996539,Leste dos EUA
16.0,64.0,True,False,1.498,1.224896107087339,Leste dos EUA
4.0,8.0,True,False,0.185,0.15506434775639996,Leste dos EUA
48.0,384.0,True,False,6.367,4.151974423277217,Leste dos EUA
16.0,64.0,True,False,1.648,1.224896107087339,Leste dos EUA
64.0,512.0,False,True,8.362,10.329739461854851,Sudeste do Brasil
104.0,832.0,False,True,21.738,17.149633791822392,Sudeste do Brasil
4.0,16.0,False,True,0.442,0.5026364572552121,Sudeste do Brasil
48.0,384.0,True,False,5.069,4.151974423277217,Leste dos EUA
8.0,16.0,True,False,0.303,0.31839346571401317,Leste dos EUA
64.0,512.0,False,True,8.78,10.329739461854851,Sudeste do Brasil
4.0,16.0,True,False,0.376,0.3030517787417105,Leste dos EUA
2.0,8.0,True,False,0.164,0.15637214446073341,Leste dos EUA
16.0,128.0,False,True,3.449,2.633932034475836,Sudeste do Brasil
128.0,1024.0,True,False,15.181,12.375899687612478,Leste dos EUA
4.0,32.0,False,True,0.68,0.6495326229833788,Sudeste do Brasil
16.0,64.0,False,True,1.586,1.9443770663041706,Sudeste do Brasil
16.0,128.0,True,False,1.152,1.4255148438996539,Leste dos EUA
96.0,768.0,True,False,5.424,8.652382112247652,Leste dos EUA
64.0,512.0,False,True,12.608,10.329739461854851,Sudeste do Brasil
16.0,128.0,True,False,1.008,1.4255148438996539,Leste dos EUA
64.0,256.0,False,True,9.558,8.220689093444015,Sudeste do Brasil
20.0,160.0,False,True,2.613,3.3189621741091586,Sudeste do Brasil
8.0,64.0,False,True,1.59,1.3083270521791253,Sudeste do Brasil
4.0,8.0,True,False,0.166,0.15506434775639996,Leste dos EUA
4.0,32.0,False,True,0.471,0.6495326229833788,Sudeste do Brasil
4.0,32.0,False,True,0.68,0.6495326229833788,Sudeste do Brasil
64.0,256.0,True,False,6.17,4.7679643453330005,Leste dos EUA
64.0,256.0,True,False,3.616,4.7679643453330005,Leste dos EUA
64.0,512.0,True,False,7.59,5.6109942145193905,Leste dos EUA
8.0,32.0,True,False,0.809,0.6215957385009458,Leste dos EUA
64.0,512.0,True,False,7.59,5.6109942145193905,Leste dos EUA
128.0,1024.0,True,False,8.467,12.375899687612478,Leste dos EUA
64.0,512.0,True,False,7.552,5.6109942145193905,Leste dos EUA
20.0,80.0,True,False,2.23,1.5554289122113842,Leste dos EUA
8.0,64.0,False,True,1.413,1.3083270521791253,Sudeste do Brasil
32.0,256.0,False,True,4.742,5.215625603428959,Sudeste do Brasil
8.0,64.0,False,True,1.195,1.3083270521791253,Sudeste do Brasil
2.0,8.0,True,False,0.096,0.15637214446073341,Leste dos EUA
96.0,384.0,True,False,9.254,7.251830546854872,Leste dos EUA
4.0,32.0,False,True,0.707,0.6495326229833788,Sudeste do Brasil
2.0,16.0,True,False,0.131,0.18311594176119286,Leste dos EUA
112.0,896.0,False,True,24.331,20.929172184704175,Sudeste do Brasil
8.0,64.0,False,True,1.413,1.3083270521791253,Sudeste do Brasil
16.0,32.0,True,False,0.611,0.6554125421290509,Leste dos EUA
8.0,32.0,True,False,0.412,0.6215957385009458,Leste dos EUA
4.0,16.0,True,False,0.206,0.3030517787417105,Leste dos EUA
16.0,128.0,True,False,1.008,1.4255148438996539,Leste dos EUA
20.0,160.0,True,False,2.18,1.6914058294386494,Leste dos EUA
